Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
650816,core & single copy orthologous,1,1,1,1
650818,core & single copy orthologous,1,1,1,1
650819,core & single copy orthologous,1,1,1,1
650820,core & single copy orthologous,1,1,1,1
650821,core & single copy orthologous,1,1,1,1
650822,core & single copy orthologous,1,1,1,1
650823,core & single copy orthologous,1,1,1,1
650824,core & single copy orthologous,1,1,1,1
650825,core & single copy orthologous,1,1,1,1
650827,core,1,2,1,1
650828,core,1,1,1,3
650829,core,2,2,2,1
650830,core,1,2,1,1
650831,core & single copy orthologous,1,1,1,1
650832,core,7,7,7,6
650833,core & single copy orthologous,1,1,1,1
650834,core & single copy orthologous,1,1,1,1
650835,core & single copy orthologous,1,1,1,1
650838,core & single copy orthologous,1,1,1,1
650839,core & single copy orthologous,1,1,1,1
650840,core & single copy orthologous,1,1,1,1
650841,core & single copy orthologous,1,1,1,1
650842,core & single copy orthologous,1,1,1,1
650843,core & single copy orthologous,1,1,1,1
650845,core & single copy orthologous,1,1,1,1
650846,core & single copy orthologous,1,1,1,1
650850,core & single copy orthologous,1,1,1,1
650851,core & single copy orthologous,1,1,1,1
650852,core & single copy orthologous,1,1,1,1
650853,core & single copy orthologous,1,1,1,1
650866,core & single copy orthologous,1,1,1,1
650867,core & single copy orthologous,1,1,1,1
650868,core & single copy orthologous,1,1,1,1
650871,core & single copy orthologous,1,1,1,1
650872,core & single copy orthologous,1,1,1,1
650874,core & single copy orthologous,1,1,1,1
650875,core & single copy orthologous,1,1,1,1
650876,core,2,1,2,2
650877,core,1,2,1,1
650880,core & single copy orthologous,1,1,1,1
650881,core & single copy orthologous,1,1,1,1
650882,core & single copy orthologous,1,1,1,1
650883,core & single copy orthologous,1,1,1,1
650884,core,2,2,2,2
650885,core & single copy orthologous,1,1,1,1
650895,core & single copy orthologous,1,1,1,1
650897,core & single copy orthologous,1,1,1,1
650898,core & single copy orthologous,1,1,1,1
650900,core & single copy orthologous,1,1,1,1
650901,core & single copy orthologous,1,1,1,1
650902,core & single copy orthologous,1,1,1,1
650903,core & single copy orthologous,1,1,1,1
650904,core,2,1,1,1
650905,core & single copy orthologous,1,1,1,1
650906,core & single copy orthologous,1,1,1,1
650907,core & single copy orthologous,1,1,1,1
650908,core & single copy orthologous,1,1,1,1
650909,core & single copy orthologous,1,1,1,1
650910,core & single copy orthologous,1,1,1,1
650911,core & single copy orthologous,1,1,1,1
650913,core,1,2,1,1
650914,core & single copy orthologous,1,1,1,1
650915,core & single copy orthologous,1,1,1,1
650916,core & single copy orthologous,1,1,1,1
650917,core & single copy orthologous,1,1,1,1
650918,core & single copy orthologous,1,1,1,1
650919,core & single copy orthologous,1,1,1,1
650920,core & single copy orthologous,1,1,1,1
650921,core & single copy orthologous,1,1,1,1
650922,core & single copy orthologous,1,1,1,1
650923,core & single copy orthologous,1,1,1,1
650924,core & single copy orthologous,1,1,1,1
650925,core & single copy orthologous,1,1,1,1
650926,core & single copy orthologous,1,1,1,1
650927,core & single copy orthologous,1,1,1,1
650928,core & single copy orthologous,1,1,1,1
650929,core & single copy orthologous,1,1,1,1
650930,core & single copy orthologous,1,1,1,1
650931,core & single copy orthologous,1,1,1,1
650932,core & single copy orthologous,1,1,1,1
650933,core & single copy orthologous,1,1,1,1
650934,core & single copy orthologous,1,1,1,1
650935,core & single copy orthologous,1,1,1,1
650937,core,1,2,1,1
650938,core & single copy orthologous,1,1,1,1
650939,core,1,2,2,2
650954,core & single copy orthologous,1,1,1,1
650955,core,1,2,1,1
650958,core & single copy orthologous,1,1,1,1
650959,core & single copy orthologous,1,1,1,1
650968,core & single copy orthologous,1,1,1,1
650969,core & single copy orthologous,1,1,1,1
650970,core & single copy orthologous,1,1,1,1
650972,core & single copy orthologous,1,1,1,1
650973,core & single copy orthologous,1,1,1,1
650975,core & single copy orthologous,1,1,1,1
650976,core & single copy orthologous,1,1,1,1
650977,core & single copy orthologous,1,1,1,1
650978,core & single copy orthologous,1,1,1,1
650979,core & single copy orthologous,1,1,1,1
650980,core & single copy orthologous,1,1,1,1
650981,core & single copy orthologous,1,1,1,1
650982,core & single copy orthologous,1,1,1,1
650983,core,3,3,3,3
650984,core & single copy orthologous,1,1,1,1
650985,core,2,4,3,4
650986,core,3,2,3,2
650987,core & single copy orthologous,1,1,1,1
650989,core & single copy orthologous,1,1,1,1
650990,core & single copy orthologous,1,1,1,1
650991,core & single copy orthologous,1,1,1,1
650992,core & single copy orthologous,1,1,1,1
650993,core & single copy orthologous,1,1,1,1
650994,core & single copy orthologous,1,1,1,1
650995,core & single copy orthologous,1,1,1,1
651002,core & single copy orthologous,1,1,1,1
