homology_group,1,2,3,4
35348360,1,1,1,1
35348361,1,0,1,1
35348362,1,0,1,1
35348363,1,0,0,0
35348364,1,1,1,1
35348365,1,0,1,1
35348366,1,0,1,1
35348367,1,0,1,1
35348368,1,1,0,0
35348369,1,0,0,0
35348370,1,0,1,1
35348371,1,0,1,1
35348372,1,0,1,0
35348373,1,0,1,0
35348374,1,0,1,1
35348375,1,1,1,1
35348376,1,0,1,1
35348377,1,0,1,1
35348378,1,0,1,1
35348379,1,0,1,0
35348380,0,0,1,1
35348381,1,0,0,0
35348382,1,0,1,1
35348383,1,0,1,1
35348384,1,0,1,1
35348385,1,1,1,1
35348386,1,1,0,1
35348387,0,1,1,1
35348388,1,1,0,0
35348389,0,0,1,0
35348390,0,0,0,1
35348391,1,0,1,1
35348392,1,1,1,1
35348393,1,0,1,1
35348394,1,0,1,1
35348395,1,0,1,1
35348396,1,0,1,1
35348397,1,1,1,1
35348398,1,0,1,1
35348399,1,0,1,1
35348400,1,1,1,1
35348401,1,0,1,1
35348402,1,0,1,1
35348403,1,0,1,0
35348404,0,0,0,1
35348405,0,1,0,0
35348406,1,0,1,1
35348407,1,0,0,0
35348408,1,0,0,0
35348409,1,0,0,0
35348410,1,0,0,0
35348411,1,0,0,0
35348412,1,0,0,0
35348413,1,0,0,1
35348414,1,0,1,1
35348415,1,0,1,1
35348416,1,0,0,1
35348417,1,0,0,1
35348418,1,0,0,1
35348419,1,0,0,1
35348420,1,0,0,1
35348421,1,0,0,1
35348422,1,0,0,0
35348423,1,0,0,0
35348424,1,0,0,0
35348425,1,0,1,0
35348426,1,0,0,1
35348427,1,1,0,0
35348428,1,0,0,0
35348429,1,0,0,0
35348430,1,1,0,0
35348431,1,0,0,0
35348432,1,0,0,0
35348433,1,1,0,0
35348434,0,1,1,1
35348435,1,0,0,0
35348436,1,1,0,0
35348437,1,0,1,1
35348438,1,1,0,0
35348439,1,0,0,0
35348440,1,1,1,1
35348441,1,1,1,1
35348442,1,1,1,1
35348443,1,0,0,0
35348444,1,1,1,1
35348445,1,1,1,1
35348446,1,1,1,1
35348447,1,1,1,1
35348448,1,1,1,1
35348449,1,1,1,1
35348450,1,1,1,1
35348451,1,1,1,1
35348452,1,1,1,1
35348453,1,1,1,1
35348454,1,1,1,1
35348455,1,1,1,1
35348456,1,1,1,1
35348457,1,1,0,1
35348458,1,0,0,0
35348459,1,0,1,1
35348460,1,0,0,0
35348461,0,1,1,1
35348462,1,1,1,0
35348463,1,0,1,1
35348464,1,0,1,1
35348465,1,0,1,0
35348466,1,0,0,0
35348467,1,0,0,0
35348468,1,1,0,0
35348469,0,1,0,0
35348470,0,1,0,0
35348471,1,1,0,0
35348472,0,1,0,1
35348473,1,1,0,0
35348474,0,1,0,1
35348475,1,0,1,0
35348476,1,0,0,0
35348477,1,0,0,0
35348478,1,0,0,0
35348479,1,0,0,0
35348480,1,1,1,1
35348481,1,0,0,1
35348482,1,0,0,1
35348483,1,0,0,1
35348484,1,0,0,1
35348485,1,0,0,1
35348486,1,0,0,1
35348487,1,0,0,1
35348488,1,0,0,1
35348489,1,0,1,1
35348490,1,0,1,1
35348491,1,1,1,1
35348492,1,0,1,1
35348493,1,0,1,1
35348494,1,0,1,1
35348495,1,0,1,1
35348496,1,0,1,1
35348497,1,0,1,1
35348498,1,0,1,1
35348499,1,0,1,1
35348500,1,0,1,1
35348501,1,0,1,1
35348502,1,0,1,1
35348503,1,0,1,1
35348504,1,0,1,1
35348505,1,0,1,1
35348506,1,0,1,1
35348507,1,0,1,1
35348508,1,1,0,0
35348509,1,0,0,0
35348510,1,0,0,0
35348511,1,0,1,1
35348512,1,0,1,1
35348513,1,0,1,0
35348514,1,0,1,1
35348515,1,0,0,0
35348516,1,0,1,1
35348517,1,1,1,1
35348518,1,0,1,1
35348519,1,1,1,1
35348520,1,1,1,1
35348521,1,0,1,1
35348522,1,1,1,1
35348523,1,0,1,1
35348524,0,1,1,0
35348525,1,0,0,1
35348526,1,1,1,1
35348527,1,1,1,1
35348528,1,1,1,1
35348529,1,0,1,1
35348530,1,1,0,1
35348531,1,0,1,0
35348532,1,1,1,1
35348533,1,0,1,1
35348534,1,1,1,1
35348535,1,0,1,1
35348536,1,1,1,1
35348537,1,0,1,1
35348538,1,0,1,1
35348539,1,0,1,1
35348540,1,0,1,1
35348541,1,1,1,1
35348542,1,0,1,1
35348543,1,1,1,1
35348544,1,0,1,1
35348545,1,1,1,1
35348546,1,1,1,1
35348547,1,1,1,1
35348548,1,0,1,1
35348549,1,1,1,1
35348550,1,0,0,1
35348551,1,0,0,1
35348552,1,0,0,0
35348553,1,0,1,1
35348554,1,1,1,1
35348555,0,0,1,1
35348556,1,0,1,0
35348557,1,1,1,1
35348558,1,1,1,1
35348559,1,0,0,1
35348560,0,0,1,0
35348561,1,0,1,1
35348562,1,0,1,1
35348563,1,0,1,1
35348564,1,0,1,1
35348565,1,0,1,1
35348566,1,0,1,1
35348567,1,1,1,1
35348568,1,0,1,1
35348569,1,1,1,1
35348570,1,1,1,1
35348571,1,0,0,0
35348572,1,0,1,1
35348573,1,0,1,1
35348574,1,1,1,1
35348575,1,0,1,1
35348576,1,1,0,0
35348577,0,0,1,1
35348578,0,1,0,1
35348579,1,0,1,1
35348580,0,1,1,1
35348581,1,1,1,1
35348582,1,1,1,1
35348583,1,1,1,1
35348584,1,0,1,1
