#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 2,Genome 3,Genome 4
35348138,accessory,4,1,,1,,,
35348139,accessory,1,1,,1,,,
35348139,accessory,3,1,,1,,,
35348139,accessory,4,1,,1,,,
35348140,accessory,1,1,,1,,,
35348140,accessory,3,1,,1,,,
35348140,accessory,4,1,,1,,,
35348141,core,1,3,,1,,,
35348141,core,3,3,,1,,,
35348141,core,4,3,,1,,,
35348142,accessory,1,1,,1,,1,
35348142,accessory,3,1,,1,,1,
35348143,accessory,1,1,,1,,,
35348143,accessory,3,1,,1,,,
35348143,accessory,4,1,,1,,,
35348144,accessory,1,1,,1,,,
35348144,accessory,3,1,,1,,,
35348144,accessory,4,1,,1,,,
35348145,accessory,3,1,1,1,,,
35348145,accessory,4,1,1,1,,,
35348146,accessory,1,1,,1,,,
35348146,accessory,3,1,,1,,,
35348146,accessory,4,1,,1,,,
35348147,accessory,1,1,,1,,,
35348147,accessory,3,1,,1,,,
35348147,accessory,4,1,,1,,,
35348148,accessory,1,1,,1,,,
35348148,accessory,3,1,,1,,,
35348148,accessory,4,1,,1,,,
35348149,accessory,1,1,,1,,,
35348149,accessory,3,1,,1,,,
35348149,accessory,4,1,,1,,,
35348150,accessory,1,1,,1,,,
35348150,accessory,3,1,,1,,,
35348150,accessory,4,1,,1,,,
35348152,accessory,1,1,,1,,,
35348152,accessory,3,1,,1,,,
35348152,accessory,4,1,,1,,,
35348153,accessory,1,1,,1,,,
35348153,accessory,3,1,,1,,,
35348153,accessory,4,1,,1,,,
35348154,accessory,1,1,,1,,,
35348154,accessory,3,1,,1,,,
35348154,accessory,4,1,,1,,,
35348155,accessory,1,1,,1,,,
35348155,accessory,3,1,,1,,,
35348155,accessory,4,1,,1,,,
35348156,core,1,2,,1,,,
35348156,core,3,2,,1,,,
35348156,core,4,2,,1,,,
35348159,accessory,1,1,,1,,,
35348159,accessory,3,1,,1,,,
35348159,accessory,4,1,,1,,,
35348161,accessory,1,1,,1,,,
35348161,accessory,3,1,,1,,,
35348161,accessory,4,1,,1,,,
35348163,accessory,1,1,,1,,,
35348163,accessory,3,1,,1,,,
35348163,accessory,4,1,,1,,,
35348164,accessory,2,1,1,,,,
35348164,accessory,3,1,1,,,,
35348164,accessory,4,1,1,,,,
35348167,accessory,1,1,,1,,,
35348167,accessory,3,1,,1,,,
35348167,accessory,4,1,,1,,,
35348169,accessory,1,1,,1,,,
35348169,accessory,3,1,,1,,,
35348169,accessory,4,1,,1,,,
35348171,accessory,1,1,,1,,,
35348171,accessory,3,1,,1,,,
35348171,accessory,4,1,,1,,,
35348172,accessory,1,1,,1,,,
35348172,accessory,3,1,,1,,,
35348172,accessory,4,1,,1,,,
35348173,accessory,1,1,,,,1,
35348173,accessory,2,1,,,,1,
35348173,accessory,3,1,,,,1,
35348174,accessory,1,1,,1,,,
35348174,accessory,3,1,,1,,,
35348174,accessory,4,1,,1,,,
35348175,accessory,1,1,,1,,,
35348175,accessory,3,1,,1,,,
35348175,accessory,4,1,,1,,,
35348176,accessory,1,1,,1,,,
