x,y,Category
4,27883,Core
5,24734,Core
9,109015,Dispensable
5,60325,Dispensable
7,23221,Core
9,95911,Dispensable
4,25508,Core
11,105333,Dispensable
11,20471,Core
6,24382,Core
11,118195,Dispensable
7,24589,Core
7,23465,Core
4,55261,Dispensable
8,22864,Core
9,106710,Dispensable
9,94977,Dispensable
11,110216,Dispensable
8,99212,Dispensable
8,90034,Dispensable
8,22548,Core
9,21947,Core
8,81117,Dispensable
10,21072,Core
10,112282,Dispensable
5,23874,Core
9,96878,Dispensable
10,21506,Core
6,88848,Dispensable
5,25417,Core
6,24202,Core
9,22400,Core
7,87941,Dispensable
7,24291,Core
8,101289,Dispensable
8,92067,Dispensable
8,101278,Dispensable
6,24816,Core
8,23690,Core
5,75783,Dispensable
4,26198,Core
6,67529,Dispensable
9,108732,Dispensable
11,109378,Dispensable
8,102719,Dispensable
7,87820,Dispensable
8,23001,Core
7,24216,Core
5,24191,Core
5,24982,Core
3,26184,Core
7,95085,Dispensable
7,82576,Dispensable
8,83471,Dispensable
9,86167,Dispensable
2,32947,Core
3,41747,Dispensable
9,101687,Dispensable
10,101442,Dispensable
6,23274,Core
9,23565,Core
8,21617,Core
8,81338,Dispensable
6,67772,Dispensable
11,116294,Dispensable
6,23135,Core
8,83029,Dispensable
5,25838,Core
7,82477,Dispensable
10,112293,Dispensable
7,25083,Core
7,89842,Dispensable
8,21756,Core
5,60921,Dispensable
11,20980,Core
9,89410,Dispensable
5,83909,Dispensable
8,103179,Dispensable
4,27506,Core
10,93420,Dispensable
8,23374,Core
9,21526,Core
7,84477,Dispensable
9,21092,Core
7,22293,Core
6,25608,Core
10,103233,Dispensable
5,62943,Dispensable
6,69309,Dispensable
6,69541,Dispensable
7,85819,Dispensable
9,106831,Dispensable
5,27035,Core
9,109192,Dispensable
7,22300,Core
7,84356,Dispensable
9,107280,Dispensable
5,68216,Dispensable
10,112039,Dispensable
3,54455,Dispensable
6,70401,Dispensable
10,112072,Dispensable
5,62833,Dispensable
8,21692,Core
9,22821,Core
8,100940,Dispensable
8,23422,Core
9,94999,Dispensable
9,98768,Dispensable
7,75892,Dispensable
8,95531,Dispensable
7,83808,Dispensable
5,24245,Core
6,23644,Core
7,86378,Dispensable
10,105244,Dispensable
10,22373,Core
5,61248,Dispensable
8,81437,Dispensable
8,92078,Dispensable
9,108644,Dispensable
5,25492,Core
5,75772,Dispensable
9,107169,Dispensable
9,108721,Dispensable
6,70511,Dispensable
7,87842,Dispensable
7,87853,Dispensable
10,22801,Core
10,22807,Core
4,25583,Core
3,29408,Core
6,68099,Dispensable
9,96988,Dispensable
7,84389,Dispensable
6,69353,Dispensable
8,102951,Dispensable
5,25047,Core
8,22918,Core
9,107291,Dispensable
10,23497,Core
7,21799,Core
7,22673,Core
8,90045,Dispensable
7,73991,Dispensable
7,23529,Core
11,20525,Core
9,101455,Dispensable
10,21581,Core
5,25037,Core
2,33318,Core
9,22020,Core
13,19735,Core
8,24037,Core
12,21552,Core
7,25008,Core
8,22127,Core
6,24066,Core
10,103222,Dispensable
8,94090,Dispensable
7,89710,Dispensable
10,101696,Dispensable
6,22764,Core
11,110315,Dispensable
10,22196,Core
9,23945,Core
9,109059,Dispensable
6,75909,Dispensable
11,21351,Core
7,84687,Dispensable
6,65319,Dispensable
8,103267,Dispensable
9,106401,Dispensable
9,96955,Dispensable
9,89322,Dispensable
3,29775,Core
9,21893,Core
10,112017,Dispensable
7,75759,Dispensable
8,102521,Dispensable
9,22827,Core
6,78060,Dispensable
3,41427,Dispensable
9,107037,Dispensable
10,113414,Dispensable
7,24345,Core
9,98746,Dispensable
10,111502,Dispensable
9,108313,Dispensable
6,78292,Dispensable
9,106522,Dispensable
9,88167,Dispensable
9,96845,Dispensable
10,21126,Core
10,112138,Dispensable
12,121994,Dispensable
5,25353,Core
6,81020,Dispensable
7,94537,Dispensable
4,25953,Core
3,43946,Dispensable
10,21873,Core
8,23245,Core
5,71319,Dispensable
8,104433,Dispensable
7,87875,Dispensable
9,87531,Dispensable
7,89434,Dispensable
8,21804,Core
8,101366,Dispensable
11,21649,Core
9,101389,Dispensable
6,24867,Core
4,62696,Dispensable
7,89423,Dispensable
8,92023,Dispensable
9,21146,Core
5,59895,Dispensable
8,22419,Core
9,21204,Core
7,85731,Dispensable
7,83830,Dispensable
9,109048,Dispensable
9,86123,Dispensable
10,20999,Core
11,109003,Dispensable
9,88035,Dispensable
4,53051,Dispensable
5,25363,Core
5,80401,Dispensable
8,102532,Dispensable
8,101256,Dispensable
5,60722,Dispensable
9,22393,Core
4,26385,Core
9,107048,Dispensable
4,27635,Core
7,87996,Dispensable
7,89886,Dispensable
12,119979,Dispensable
9,108302,Dispensable
7,89820,Dispensable
8,22630,Core
8,24536,Core
6,69408,Dispensable
7,89787,Dispensable
9,20911,Core
7,87643,Dispensable
