x,y,Category
8,41313,Unique
9,23582,Core
7,35035,Accessory
6,38366,Unique
7,33980,Accessory
3,30227,Core
4,18838,Accessory
9,42098,Accessory
6,39132,Unique
6,30419,Accessory
6,30937,Accessory
4,32022,Unique
7,25083,Core
6,38424,Unique
6,39478,Unique
5,38278,Unique
6,26047,Core
5,26980,Core
8,38912,Accessory
5,27100,Core
9,23881,Core
5,35948,Unique
6,37131,Unique
6,36365,Unique
5,33164,Unique
5,37268,Unique
6,37914,Unique
6,38652,Unique
7,35062,Accessory
7,42716,Unique
7,42691,Unique
5,25555,Accessory
4,20339,Accessory
5,26155,Core
6,39129,Unique
6,25554,Core
8,43484,Unique
8,38407,Accessory
7,40283,Unique
9,42199,Unique
7,25202,Core
7,39624,Unique
8,42502,Unique
4,27499,Core
7,33475,Accessory
6,39299,Unique
6,26064,Core
7,24783,Core
7,25517,Core
8,38668,Accessory
5,25077,Accessory
8,41736,Unique
6,37540,Unique
5,36942,Unique
7,34196,Accessory
4,33741,Unique
4,18865,Accessory
5,25492,Core
7,25463,Core
6,38350,Unique
6,29688,Accessory
6,26363,Core
6,37584,Unique
9,45271,Unique
8,41483,Unique
7,33957,Accessory
7,34314,Accessory
7,35269,Accessory
7,23828,Core
6,30076,Accessory
8,22918,Core
10,23182,Core
6,29197,Accessory
4,26317,Core
8,24482,Core
5,23738,Accessory
5,24459,Accessory
7,33984,Accessory
8,41892,Unique
7,34548,Accessory
3,31726,Unique
6,35360,Unique
4,27927,Core
7,34575,Accessory
6,37205,Unique
7,23529,Core
4,18892,Accessory
4,27700,Core
6,36439,Unique
3,30431,Core
7,24274,Core
8,44294,Unique
7,41093,Unique
10,23192,Core
5,23999,Accessory
5,24703,Accessory
8,23737,Core
7,25008,Core
3,10863,Accessory
6,24066,Core
10,22315,Core
4,28000,Core
6,36186,Unique
7,41346,Unique
4,27618,Core
7,42537,Unique
7,24708,Core
4,18631,Accessory
7,35008,Accessory
8,23727,Core
7,35414,Accessory
6,29901,Accessory
7,34169,Accessory
7,24644,Core
5,24838,Accessory
7,40638,Unique
9,22827,Core
6,39181,Unique
9,45403,Unique
4,33199,Unique
6,38245,Unique
7,24345,Core
6,25992,Core
5,26162,Core
4,19330,Accessory
8,41378,Unique
6,30067,Accessory
8,43842,Unique
4,33562,Unique
5,37675,Unique
4,19469,Accessory
5,38441,Unique
2,33685,Core
7,37872,Unique
5,24937,Accessory
6,37249,Unique
5,38157,Unique
6,24867,Core
8,43591,Unique
4,27934,Core
8,38443,Accessory
4,25712,Core
7,25154,Core
5,27028,Core
4,18108,Accessory
3,30414,Unique
8,43586,Unique
6,37784,Unique
6,30572,Accessory
7,34341,Accessory
6,25303,Core
5,25363,Core
7,25392,Core
8,39534,Accessory
9,41720,Accessory
8,40673,Unique
7,42035,Unique
9,41981,Accessory
6,39176,Unique
9,42811,Accessory
4,26463,Core
7,39819,Unique
9,23874,Core
8,24536,Core
7,34413,Accessory
2,26803,Unique
5,35270,Unique
8,41208,Unique
8,39133,Accessory
6,38724,Unique
6,30955,Accessory
8,40803,Unique
9,41689,Unique
5,25709,Core
5,26898,Core
6,37556,Unique
6,40072,Unique
6,39234,Unique
7,34674,Accessory
6,38322,Unique
8,23235,Core
5,38636,Unique
8,40731,Unique
3,30373,Core
4,19731,Accessory
7,38382,Unique
7,24267,Core
6,37735,Unique
4,19487,Accessory
10,22189,Core
5,38234,Unique
9,23701,Core
6,38545,Unique
9,43667,Accessory
8,41585,Unique
4,18613,Accessory
5,34815,Unique
6,34789,Unique
4,19564,Accessory
8,23683,Core
8,40519,Unique
5,25411,Core
9,45805,Unique
5,24865,Accessory
7,24654,Core
8,43663,Unique
8,42897,Unique
11,21843,Core
6,29179,Accessory
4,35891,Unique
7,24410,Core
9,43406,Accessory
6,24806,Core
8,38677,Accessory
8,42853,Unique
2,34056,Core
7,23536,Core
5,25704,Accessory
2,29054,Unique
4,33541,Unique
5,26219,Core
8,39160,Accessory
6,37054,Unique
8,43363,Unique
4,28308,Core
6,30094,Accessory
4,33378,Unique
6,36288,Unique
8,44145,Unique
6,26298,Core
7,23845,Core
8,38921,Accessory
3,30179,Core
6,38289,Unique
12,48457,Unique
4,19086,Accessory
7,33574,Accessory
7,23835,Core
8,38416,Accessory
5,26209,Core
6,35778,Unique
6,37098,Unique
6,40251,Unique
9,42333,Accessory
6,30036,Accessory
9,23640,Core
7,35197,Accessory
7,41760,Unique
7,34399,Accessory
8,39547,Accessory
5,25681,Accessory
6,25615,Core
8,38749,Accessory
7,25141,Core
6,30297,Accessory
7,35445,Accessory
7,33570,Accessory
5,37038,Unique
9,42743,Accessory
8,24190,Core
4,19537,Accessory
7,40313,Unique
7,39222,Unique
7,35238,Accessory
6,25690,Core
7,38963,Unique
6,38201,Unique
7,34647,Accessory
5,27025,Core
5,35000,Unique
5,23769,Accessory
3,29565,Unique
5,24869,Accessory
8,39733,Unique
6,37435,Unique
4,17571,Accessory
8,37920,Accessory
5,33471,Unique
8,43007,Unique
6,31136,Accessory
5,25176,Accessory
7,24209,Core
7,24647,Core
7,23475,Core
4,26025,Core
5,25407,Core
5,35876,Unique
5,25708,Accessory
10,46064,Accessory
9,41643,Accessory
3,10521,Accessory
8,22922,Core
9,45673,Unique
7,24332,Core
8,42472,Unique
5,26011,Accessory
7,41525,Unique
8,40905,Unique
7,40759,Unique
7,42586,Unique
5,25420,Accessory
7,38147,Unique
9,43827,Unique
5,36642,Unique
6,36470,Unique
6,29783,Accessory
6,40934,Unique
9,44340,Unique
5,25061,Core
6,40681,Unique
9,22831,Core
4,33659,Unique
4,28729,Core
2,29140,Core
5,25149,Accessory
4,28380,Core
6,29522,Accessory
8,39313,Accessory
8,24047,Core
7,24284,Core
9,43904,Unique
7,35211,Accessory
4,34502,Unique
6,29220,Accessory
9,42302,Accessory
4,33736,Unique
6,36142,Unique
10,45954,Unique
4,28451,Core
8,40494,Unique
6,25184,Core
4,18230,Accessory
3,11855,Accessory
5,23765,Accessory
9,42238,Accessory
10,45447,Unique
7,25018,Core
7,24352,Core
8,42927,Unique
7,25093,Core
8,23381,Core
8,23751,Core
8,38952,Accessory
9,22698,Core
4,27937,Core
8,44531,Unique
3,27678,Core
9,43144,Unique
2,33322,Core
8,38447,Accessory
3,12135,Accessory
4,18698,Accessory
4,18919,Accessory
5,34936,Unique
5,25777,Core
5,37022,Unique
4,28746,Core
8,42293,Unique
9,42261,Accessory
7,25459,Core
8,37676,Accessory
6,29274,Accessory
5,25735,Accessory
5,36463,Unique
7,35513,Accessory
8,23731,Core
8,38267,Accessory
7,23838,Core
3,10525,Accessory
9,43568,Accessory
6,28683,Accessory
5,35953,Unique
6,30243,Accessory
9,42797,Accessory
10,45821,Accessory
4,18644,Accessory
5,25996,Accessory
3,10786,Accessory
10,46060,Accessory
7,41630,Unique
5,25404,Core
8,38718,Accessory
7,34823,Accessory
7,39773,Unique
5,33931,Unique
8,39298,Unique
8,24485,Core
6,31312,Accessory
3,31552,Unique
9,45852,Unique
9,22760,Core
8,38542,Accessory
10,46420,Unique
6,36291,Unique
8,23744,Core
8,23659,Core
5,24401,Accessory
10,45852,Accessory
4,20289,Accessory
11,49103,Accessory
5,36763,Unique
6,26369,Core
7,40641,Unique
11,47160,Unique
5,34920,Unique
6,30473,Accessory
10,45645,Accessory
4,19185,Accessory
6,30090,Accessory
7,40134,Unique
7,38784,Unique
5,36512,Unique
9,42712,Accessory
5,25528,Accessory
5,34413,Unique
7,34192,Accessory
5,34562,Unique
6,29752,Accessory
8,24105,Core
9,45150,Unique
3,11886,Accessory
8,43900,Unique
6,39887,Unique
7,40385,Unique
6,35660,Unique
4,18468,Accessory
5,35016,Unique
6,26359,Core
10,47039,Unique
3,29772,Unique
5,33589,Unique
6,29756,Accessory
6,31163,Accessory
6,25618,Core
9,23144,Core
4,20353,Accessory
5,24689,Accessory
9,43725,Unique
7,34318,Accessory
8,23686,Core
9,42207,Accessory
5,24635,Accessory
7,34877,Accessory
5,34757,Unique
7,35004,Accessory
9,44133,Unique
8,23676,Core
8,38776,Accessory
6,37809,Unique
9,42265,Accessory
5,24896,Accessory
4,17544,Accessory
8,22935,Core
7,33889,Accessory
7,34850,Accessory
5,34534,Unique
7,24705,Core
3,30161,Unique
6,24388,Core
8,43916,Unique
5,26168,Core
9,23202,Core
6,40799,Unique
7,24637,Core
10,45411,Accessory
9,44786,Unique
3,28455,Unique
7,34643,Accessory
3,28606,Unique
4,19334,Accessory
7,35418,Accessory
8,43409,Unique
6,29905,Accessory
9,42031,Accessory
5,36154,Unique
6,37509,Unique
6,29044,Accessory
9,43339,Unique
5,27022,Core
6,24891,Core
9,43131,Accessory
10,46091,Accessory
5,36333,Unique
5,26969,Core
4,25959,Core
5,35567,Unique
7,33953,Accessory
9,45089,Unique
7,37946,Unique
9,41612,Accessory
5,25379,Accessory
7,23540,Core
