homology_group,1,2,3,4
650966,1,0,0,0
650967,0,0,1,0
650968,1,1,1,1
650969,1,1,1,1
650970,1,1,1,1
650971,1,0,0,0
650972,1,1,1,1
650973,1,1,1,1
650974,1,0,1,0
650975,1,1,1,1
650976,1,1,1,1
650977,1,1,1,1
650978,1,1,1,1
650979,1,1,1,1
650980,1,1,1,1
650981,1,1,1,1
650982,1,1,1,1
650983,1,1,1,1
650984,1,1,1,1
650985,1,1,1,1
650986,1,1,1,1
650987,1,1,1,1
650988,0,1,0,1
650989,1,1,1,1
650990,1,1,1,1
650991,1,1,1,1
650992,1,1,1,1
650993,1,1,1,1
650994,1,1,1,1
650995,1,1,1,1
650996,1,1,0,0
650997,0,0,1,1
650998,1,1,0,0
650999,0,0,1,1
651000,1,1,0,0
651001,0,0,1,0
651002,1,1,1,1
651003,1,1,0,1
651004,1,1,1,1
651005,1,1,1,1
651006,1,1,1,1
651007,1,1,1,1
651008,0,0,1,1
651009,0,1,0,1
651010,1,1,0,0
651011,1,1,1,1
651012,1,1,1,1
651013,1,1,1,1
651014,1,1,1,1
651015,1,1,1,1
651016,1,1,1,1
651017,1,1,1,1
651018,1,1,1,1
651019,0,1,1,0
651020,1,0,0,1
651021,1,0,1,0
651022,0,1,0,1
651023,1,0,1,0
651024,1,1,1,1
651025,1,1,1,1
651026,1,1,1,1
651027,1,1,1,1
651028,1,1,1,1
651029,1,1,1,1
651030,1,1,1,1
651031,1,1,1,1
651032,1,1,1,1
651033,1,1,1,1
651034,1,1,1,1
651035,1,1,1,1
651036,1,1,1,1
651037,1,1,1,1
651038,0,0,1,0
651039,1,0,0,0
651040,0,0,0,1
651041,0,1,0,0
651042,1,1,1,1
651043,1,1,1,1
651044,1,1,1,1
651045,1,1,1,1
651046,1,1,1,1
651047,1,1,1,1
651048,1,1,1,1
651049,1,1,0,0
651050,1,1,1,1
651051,0,0,1,0
651052,1,1,1,1
651053,0,1,0,0
651054,1,0,0,1
651055,1,0,0,1
651056,1,0,0,0
651057,1,0,0,0
651058,0,1,0,0
651059,1,0,0,0
651060,0,0,0,1
651061,0,0,1,0
651062,1,1,1,1
651063,1,1,1,1
651064,1,1,1,1
651065,1,1,1,1
651066,1,1,1,1
651067,1,1,0,1
651068,0,0,1,0
651069,1,1,1,1
651070,1,1,1,1
651071,1,1,1,1
651072,1,1,1,1
651073,1,1,1,1
651074,1,1,1,1
651075,1,1,1,1
651076,1,1,1,1
651077,1,1,1,1
651078,1,1,1,1
651079,1,1,1,1
651080,1,1,1,1
651081,1,1,1,1
651082,1,1,1,1
651083,1,1,1,1
651084,1,1,0,1
651085,1,1,1,1
651086,1,1,1,1
651087,1,1,1,1
651088,1,1,1,1
651089,1,1,1,1
651090,0,0,1,0
651091,1,0,0,0
651092,0,0,0,1
651093,0,1,0,0
651094,0,0,0,1
651095,0,0,1,0
651096,0,1,0,0
651097,1,0,0,0
651098,1,1,1,1
651099,1,1,1,1
651100,1,1,1,1
651101,1,1,1,1
651102,1,1,1,1
651103,1,1,1,1
651104,0,1,1,1
651105,1,0,0,1
651106,1,1,1,1
651107,0,1,1,1
651108,1,1,0,1
651109,1,1,1,1
651110,1,1,1,1
651111,1,1,1,1
651112,1,1,1,1
651113,1,1,1,1
651114,1,1,1,1
651115,1,1,1,1
651116,1,1,1,1
651117,1,1,1,1
651118,1,1,1,1
651119,1,1,1,1
651120,1,1,1,1
651121,1,1,1,1
651122,1,1,1,1
651123,1,1,0,0
651124,1,0,0,1
651125,1,0,1,0
651126,0,0,0,1
651127,1,1,1,1
651128,1,1,1,1
651129,1,1,1,1
651130,1,1,1,1
651131,1,1,1,1
651132,1,1,1,1
651133,1,1,1,1
651134,1,1,1,1
651135,1,1,1,1
651136,1,1,1,1
651137,1,1,1,1
651138,1,1,1,1
651139,1,1,1,1
651140,1,0,0,0
651141,0,1,0,0
651142,1,0,0,0
651143,0,0,1,0
651144,0,1,0,0
651145,0,0,0,1
651146,0,0,0,1
651147,0,0,1,0
651148,1,1,1,1
651149,1,1,1,1
651150,1,1,1,1
651151,1,1,1,1
651152,1,1,1,1
651153,1,1,1,1
651154,1,1,1,1
651155,1,1,1,1
651156,1,1,1,1
651157,1,1,1,1
651158,1,1,1,1
651159,1,1,1,1
651160,1,1,1,1
651161,1,1,1,1
651162,1,1,1,1
651163,1,1,1,1
651164,1,1,1,1
651165,1,1,1,1
651166,1,1,1,1
651167,1,1,1,1
651168,1,1,1,1
651169,1,1,1,1
651170,1,1,1,1
651171,1,1,1,1
651172,1,1,1,1
651173,1,1,1,1
651174,1,1,1,1
651175,1,1,1,1
651176,1,0,0,0
651177,0,0,0,1
651178,0,1,0,0
651179,0,0,1,0
651180,1,1,1,1
651181,1,0,1,0
651182,1,1,1,1
651183,1,1,1,1
651184,1,1,1,1
651185,1,1,1,1
651186,1,0,1,0
651187,1,1,1,1
651188,1,1,1,1
651189,1,1,1,1
651190,1,0,1,0
651191,0,1,0,1
651192,1,0,0,0
651193,0,0,1,0
651194,1,0,0,0
651195,1,0,1,0
651196,1,0,0,1
651197,1,1,1,1
651198,1,1,1,1
651199,0,0,0,1
651200,1,1,1,1
651201,1,1,1,1
651202,1,1,1,1
651203,1,1,1,1
651204,1,1,1,1
651205,1,1,1,1
651206,1,1,1,1
651207,1,1,1,1
651208,1,1,1,1
651209,1,1,1,1
651210,1,1,1,1
651211,1,1,1,1
651212,1,1,1,1
651213,1,1,1,1
651214,1,1,1,1
651215,1,1,1,1
651216,1,1,1,1
651217,1,1,1,1
651218,1,0,0,1
651219,1,1,1,1
651220,1,1,1,1
651221,1,1,1,1
651222,1,1,1,1
651223,1,1,1,1
651224,1,1,1,1
651225,1,1,1,1
651226,1,1,1,1
651227,1,1,1,1
651228,1,1,1,1
651229,1,1,1,1
651230,1,1,1,1
651231,1,1,1,1
651232,1,1,0,0
651233,1,1,1,1
651234,0,1,1,0
651235,1,1,1,1
651236,1,1,1,1
651237,1,1,1,1
651238,1,1,1,1
651239,1,1,1,1
651240,1,1,1,1
651241,1,1,1,1
651242,1,1,1,1
651243,1,1,1,1
651244,1,1,1,1
651245,1,0,1,1
651246,1,1,1,1
651247,1,0,1,1
651248,1,1,1,1
651249,1,1,1,1
651250,1,1,0,1
651251,1,1,1,1
651252,1,1,1,1
651253,1,1,0,1
651254,1,0,0,0
651255,1,1,1,1
651256,1,1,1,1
651257,1,1,1,1
651258,1,1,1,1
651259,1,1,0,1
651260,0,1,0,1
651261,1,0,0,0
651262,0,0,1,0
651263,0,0,1,0
651264,1,0,0,0
651265,1,1,0,1
651266,1,1,1,1
651267,1,1,1,1
651268,1,1,1,1
651269,1,1,1,1
651270,1,1,1,0
651271,1,1,1,0
651272,1,0,0,0
651273,1,1,0,0
651274,1,1,0,1
651275,0,0,1,1
651276,1,1,1,1
651277,1,1,1,1
651278,1,1,1,1
651279,1,1,1,1
651280,1,1,1,1
651281,1,1,1,1
651282,1,1,1,1
651283,1,1,1,1
651284,1,0,1,0
651285,1,1,1,1
651286,1,1,1,1
651287,1,1,1,1
651288,1,1,1,1
651289,1,1,1,1
651290,1,1,1,1
651291,1,1,1,1
651292,1,1,1,1
651293,1,1,1,1
651294,1,1,1,1
651295,1,1,1,1
651296,1,1,1,1
651297,1,1,1,1
651298,1,1,1,1
651299,1,1,1,1
651300,1,1,1,1
651301,1,1,1,1
651302,1,1,1,1
651303,1,1,1,1
651304,1,0,1,0
651305,0,1,0,0
651306,0,0,0,1
651307,1,1,1,1
651308,1,1,1,1
651309,1,0,1,1
651310,1,0,1,1
651311,0,1,1,1
651312,1,0,1,0
651313,1,1,1,1
651314,1,0,0,0
651315,1,0,0,0
651316,1,0,0,0
651317,1,0,0,0
651318,1,0,0,0
651319,1,0,0,0
651320,1,0,0,0
651321,1,0,0,0
651322,1,0,0,0
651323,1,0,0,0
651324,1,0,0,0
651325,1,0,0,0
651326,1,0,0,0
651327,1,0,0,0
651328,1,0,0,0
651329,1,1,1,1
651330,1,0,0,0
651331,1,0,0,0
651332,1,0,0,0
651333,1,0,0,0
651334,1,0,0,0
651335,1,0,0,0
651336,1,0,0,0
651337,1,0,0,0
651338,1,1,1,1
651339,1,0,0,0
651340,1,0,0,0
651341,1,0,0,0
651342,1,1,1,1
651343,1,0,0,0
651344,1,0,0,0
651345,1,1,1,0
651346,1,0,0,0
651347,1,1,1,1
651348,1,0,0,0
651349,1,0,0,0
651350,1,0,0,0
651351,1,0,0,0
651352,1,0,0,0
651353,1,0,1,1
651354,1,1,1,0
651355,1,1,1,1
651356,1,1,1,1
651357,1,1,0,1
651358,1,0,0,0
651359,1,1,1,1
651360,1,1,1,1
651361,1,1,1,1
651362,1,1,1,1
651363,1,1,1,1
651364,1,1,1,1
651365,1,1,1,1
651366,1,1,1,1
651367,1,1,1,1
651368,1,1,1,1
651369,1,1,1,1
651370,1,1,1,1
651371,1,1,1,1
651372,1,1,1,1
651373,1,1,1,1
651374,1,1,1,1
651375,1,1,1,1
651376,1,1,1,1
651377,1,1,1,1
651378,1,1,1,1
651379,1,1,1,1
651380,0,1,1,1
651381,1,0,0,0
651382,1,0,0,0
651383,1,1,1,1
651384,1,1,1,1
651385,1,1,1,1
651386,1,1,0,1
651387,1,1,1,1
651388,1,0,0,1
651389,1,1,1,0
651390,1,1,0,1
651391,1,0,0,0
651392,1,1,0,1
651393,1,1,0,1
651394,1,0,0,0
651395,1,0,0,0
651396,1,0,0,0
651397,1,1,1,0
651398,1,0,0,0
651399,1,0,0,0
651400,1,0,0,0
651401,1,0,1,1
651402,1,0,1,1
651403,1,1,0,1
651404,1,0,0,0
651405,1,1,0,1
651406,0,1,1,1
651407,1,0,0,0
651408,1,1,0,1
651409,1,0,1,1
651410,1,1,0,0
651411,0,1,0,1
651412,1,0,0,0
651413,1,0,1,0
651414,1,0,1,0
651415,1,1,0,0
651416,1,0,0,0
651417,1,0,0,0
651418,1,0,1,0
651419,1,1,0,0
651420,1,0,0,0
651421,1,0,0,0
651422,1,0,1,0
651423,0,1,0,1
651424,1,0,0,0
651425,0,1,0,1
651426,1,1,0,0
651427,0,0,1,0
651428,1,0,1,0
651429,1,0,0,0
651430,1,0,0,0
651431,1,0,1,0
651432,0,1,0,1
651433,0,0,1,1
651434,1,0,1,0
651435,1,0,0,0
651436,1,1,0,0
651437,0,1,0,0
651438,1,0,1,0
651439,0,1,1,0
651440,1,0,0,0
651441,1,0,0,0
651442,1,0,0,0
651443,0,1,0,0
651444,0,0,1,0
651445,1,0,0,0
651446,1,0,0,0
651447,1,0,0,0
651448,1,0,0,0
651449,1,0,0,0
651450,1,0,0,0
651451,1,0,0,0
651452,1,0,0,0
651453,0,0,1,0
651454,0,0,1,0
651455,0,1,0,0
651456,0,0,1,0
651457,1,0,0,0
651458,0,0,1,0
651459,0,1,0,0
651460,1,0,0,0
651461,1,0,1,1
651462,1,1,1,1
651463,1,1,1,1
651464,1,1,1,1
651465,1,1,1,0
651466,1,1,1,0
651467,1,1,1,1
651468,1,1,1,1
651469,1,1,0,1
651470,1,1,1,0
651471,0,1,1,0
651472,1,1,1,1
651473,1,1,1,0
651474,1,1,1,1
651475,1,1,1,1
651476,1,1,1,1
651477,1,1,1,0
651478,1,1,1,0
651479,1,1,1,0
651480,1,1,1,1
651481,0,1,0,1
651482,1,1,1,1
651483,1,1,1,1
651484,1,1,1,1
651485,1,1,1,1
651486,1,1,1,1
651487,1,1,1,1
651488,1,1,1,1
651489,1,1,1,1
651490,1,1,0,1
651491,0,0,1,1
651492,1,1,1,1
651493,1,1,1,1
651494,0,1,1,0
651495,0,0,1,0
651496,0,1,0,0
651497,1,1,1,1
651498,1,1,1,1
651499,1,1,1,1
651500,1,1,0,1
651501,1,0,1,1
651502,0,1,0,0
651503,1,1,1,1
651504,1,1,1,1
651505,1,0,1,0
651506,1,1,1,1
651507,1,1,1,1
