x,y,Category
9,107467,Dispensable
6,23196,Core
7,107688,Total
11,107422,Dispensable
10,22010,Core
5,26165,Core
7,109633,Total
7,23523,Core
8,100686,Dispensable
6,70103,Dispensable
4,78261,Total
7,110117,Total
7,75914,Dispensable
5,75077,Dispensable
7,87676,Dispensable
9,128476,Total
7,97582,Dispensable
8,116476,Total
5,63557,Dispensable
11,139583,Total
5,26956,Core
8,123490,Total
6,93416,Total
7,22228,Core
9,21150,Core
4,28006,Core
7,22663,Core
7,107967,Total
4,79713,Total
6,25262,Core
11,105377,Dispensable
10,101497,Dispensable
11,22201,Core
4,26022,Core
10,121419,Total
8,113314,Total
8,96101,Dispensable
8,82437,Dispensable
10,123494,Total
9,118550,Total
10,102398,Dispensable
7,109720,Total
5,87302,Total
12,140980,Total
9,119358,Total
8,81426,Dispensable
6,24080,Core
6,102856,Total
8,95200,Dispensable
13,126786,Dispensable
11,110017,Dispensable
5,73187,Dispensable
10,100376,Dispensable
10,105189,Dispensable
7,95670,Dispensable
6,69640,Dispensable
7,120572,Total
10,127546,Total
10,126334,Total
10,102288,Dispensable
5,74099,Dispensable
9,23144,Core
8,22928,Core
8,106513,Total
5,62579,Dispensable
5,99775,Total
8,21315,Core
4,79714,Total
3,54157,Dispensable
6,67463,Dispensable
10,127267,Total
10,126055,Total
8,114333,Total
8,115545,Total
7,108423,Total
6,22828,Core
9,108445,Dispensable
7,86577,Dispensable
5,93493,Total
11,138525,Total
6,111977,Total
7,22721,Core
8,113313,Total
12,20356,Core
9,129689,Total
7,24705,Core
7,85676,Dispensable
9,106423,Dispensable
6,24388,Core
8,23666,Core
6,94471,Total
7,118909,Total
5,61557,Dispensable
10,110204,Dispensable
3,48991,Dispensable
10,22675,Core
7,83764,Dispensable
6,114661,Total
6,24891,Core
6,72390,Dispensable
6,94349,Total
6,94750,Total
8,117495,Total
7,85797,Dispensable
14,19515,Core
8,92045,Dispensable
9,130487,Total
10,22308,Core
6,25252,Core
5,61678,Dispensable
9,22695,Core
6,24368,Core
6,25320,Core
8,95101,Dispensable
9,107445,Dispensable
12,20376,Core
9,95999,Dispensable
7,96670,Dispensable
7,87577,Dispensable
9,119357,Total
7,99031,Total
11,21269,Core
5,64469,Dispensable
3,56168,Dispensable
6,112306,Total
9,127457,Total
6,90863,Dispensable
7,111329,Total
8,117496,Total
6,68364,Dispensable
7,75936,Dispensable
10,93122,Dispensable
9,116797,Total
5,72430,Dispensable
6,106560,Total
5,63579,Dispensable
9,129688,Total
5,100994,Total
6,24378,Core
10,103288,Dispensable
10,134714,Total
7,105861,Total
8,112666,Total
7,22798,Core
8,115403,Total
12,21661,Core
4,52227,Dispensable
4,54360,Dispensable
6,113517,Total
6,96050,Total
10,104145,Dispensable
7,118804,Total
10,20630,Core
10,132434,Total
10,112822,Dispensable
5,67878,Dispensable
4,25199,Core
6,23997,Core
11,116813,Dispensable
4,80691,Total
5,60148,Dispensable
8,122999,Total
9,95745,Dispensable
10,20962,Core
5,24541,Core
8,24098,Core
4,90526,Total
4,27092,Core
3,82748,Total
8,93067,Dispensable
4,68542,Dispensable
8,22796,Core
9,21581,Core
8,80205,Dispensable
9,130941,Total
5,86740,Total
7,99451,Total
7,83587,Dispensable
9,111824,Total
7,22425,Core
9,108070,Dispensable
11,22503,Core
8,23408,Core
9,99558,Dispensable
5,24839,Core
7,22466,Core
10,20687,Core
6,89617,Dispensable
9,127314,Total
7,88710,Dispensable
7,101179,Total
8,125415,Total
4,26775,Core
6,90767,Total
9,21879,Core
8,123540,Total
8,104529,Total
7,76119,Dispensable
5,74640,Dispensable
8,22755,Core
11,116724,Dispensable
5,25560,Core
6,80306,Dispensable
7,119823,Total
5,59299,Dispensable
8,102046,Dispensable
11,117085,Dispensable
5,102114,Total
6,82483,Dispensable
6,80119,Dispensable
10,115829,Total
5,73099,Dispensable
9,122051,Total
7,23954,Core
9,22284,Core
